beta,HR@5,HR@10,HR@20,NDCG@5,NDCG@10,NDCG@20,P@5,P@10,P@20,R@5,R@10,R@20,F1@5,F1@10,F1@20,MRR,MAE,RMSE
0.0,0.9926,1.0,1.0,0.7676,0.7385,0.7397,0.7605,0.7148,0.6657,0.134,0.243,0.4331,0.2079,0.3189,0.4491,0.8794,1.142,1.4402
0.05,0.9989,1.0,1.0,0.8531,0.7976,0.7767,0.8314,0.7542,0.6812,0.1422,0.2496,0.4365,0.2213,0.329,0.4545,0.9564,1.1089,1.3944
0.1,0.9989,1.0,1.0,0.8552,0.8011,0.7809,0.835,0.759,0.6864,0.1428,0.2511,0.4386,0.2224,0.331,0.4571,0.9554,1.0764,1.3498
0.15,0.9989,1.0,1.0,0.857,0.8034,0.7839,0.8376,0.762,0.6898,0.1435,0.2516,0.4397,0.2233,0.332,0.4587,0.9554,1.0445,1.3064
0.2,0.9989,1.0,1.0,0.8583,0.807,0.7877,0.8406,0.7674,0.6946,0.1436,0.2534,0.4415,0.2239,0.3344,0.4611,0.954,1.0132,1.2643
0.25,0.9989,1.0,1.0,0.8584,0.8114,0.7924,0.8406,0.7735,0.7001,0.1436,0.2558,0.4441,0.224,0.3375,0.4641,0.9536,0.9828,1.2238
0.3,0.9989,1.0,1.0,0.8589,0.8143,0.7964,0.8414,0.7774,0.705,0.1438,0.2573,0.4457,0.2242,0.3394,0.4663,0.9531,0.9533,1.185
0.35,0.9989,1.0,1.0,0.8598,0.8165,0.8009,0.8427,0.7803,0.7106,0.1441,0.2583,0.448,0.2246,0.3407,0.4691,0.953,0.9249,1.148
0.4,0.9989,1.0,1.0,0.8618,0.8191,0.8042,0.8465,0.7841,0.7146,0.1447,0.2597,0.4504,0.2257,0.3424,0.4717,0.9515,0.8978,1.113
0.45,0.9989,1.0,1.0,0.8638,0.8225,0.8087,0.8484,0.7881,0.7196,0.1457,0.2608,0.4528,0.2268,0.3441,0.4746,0.9531,0.8722,1.0802
0.5,0.9989,1.0,1.0,0.8641,0.8264,0.8127,0.8493,0.7943,0.7249,0.1459,0.2629,0.4553,0.2273,0.3469,0.4777,0.9512,0.8484,1.0499
0.55,1.0,1.0,1.0,0.8642,0.8285,0.8162,0.8497,0.7973,0.7294,0.1458,0.2633,0.4572,0.2273,0.3478,0.4802,0.9499,0.8267,1.0222
0.6,1.0,1.0,1.0,0.8644,0.8288,0.8197,0.8512,0.7983,0.7344,0.1458,0.2632,0.4597,0.2274,0.3479,0.4832,0.948,0.8071,0.9974
0.65,1.0,1.0,1.0,0.8618,0.8314,0.8237,0.8473,0.8023,0.74,0.1446,0.2651,0.4625,0.2256,0.3502,0.4865,0.9477,0.7899,0.9758
0.7,1.0,1.0,1.0,0.8619,0.8318,0.8267,0.8484,0.8037,0.7445,0.1448,0.2651,0.4651,0.2258,0.3504,0.4894,0.948,0.7753,0.9575
0.75,1.0,1.0,1.0,0.8592,0.8314,0.8276,0.8456,0.8045,0.7464,0.1433,0.2649,0.4661,0.2239,0.3502,0.4906,0.9475,0.7632,0.9429
0.8,0.9989,1.0,1.0,0.8551,0.8279,0.8283,0.8425,0.8017,0.7495,0.1424,0.2639,0.4674,0.2225,0.3489,0.4922,0.9435,0.7538,0.932
0.85,0.9989,1.0,1.0,0.8488,0.8237,0.8264,0.8386,0.7999,0.7502,0.1415,0.2631,0.4681,0.221,0.3481,0.493,0.9366,0.7472,0.9252
0.9,0.9968,0.9989,1.0,0.8413,0.8186,0.8231,0.8331,0.7973,0.7498,0.1404,0.2616,0.4673,0.2195,0.3462,0.4923,0.926,0.7438,0.9225
0.95,0.9968,0.9989,1.0,0.8298,0.8096,0.8189,0.8236,0.7902,0.7494,0.1377,0.2583,0.4669,0.2157,0.3421,0.492,0.9167,0.7435,0.9239
1.0,0.9947,0.9979,0.9989,0.8142,0.799,0.8107,0.8087,0.7826,0.7447,0.1347,0.2554,0.4644,0.2111,0.3385,0.4892,0.9061,0.7462,0.9296
